"gene","avg_rank","rank_variance"
"HDAC2",152.733266733267,1749.46080834555
"PPFIA1",152.901764901765,1835.09127936243
"SMAD3",153.340326340326,2182.18260708867
"KRT18",153.607725607726,16694.0632580832
"PLXNA1",153.984015984016,15737.485420642
"NDC80",154.634365634366,10620.1400844326
"MYO6",157.616050616051,826.49110804807
"CDC20",158.86346986347,19620.5962766969
"CALML5",159.01332001332,6128.47683784126
"KIF22",159.117549117549,26411.0597951904
"DISC1",160.498834498834,2261.83502529006
"LGALS3",162.31635031635,2725.22567195185
"SNAP25",162.648351648352,3705.27470331135
"DDB1",163.245088245088,1991.31632746556
"SKP2",163.919746919747,11042.9405926075
"HMMR",165.211122211122,3055.18259444309
"POLE2",171.068265068265,1112.78514512359
"NHERF1",171.449883449883,3066.90113506303
"KIF18B",172.773226773227,33934.7237066731
"CDKN1B",173.090909090909,1923.70359154503
"HAUS6",174.755244755245,3232.70323280983
"CUL2",175.948384948385,1337.6465688431
"KIF21A",176.215451215451,26564.6754174096
"CENPF",176.315684315684,2174.96826491297
"EPB41L1",176.328005328005,3553.02395561356
"ANAPC4",177.456543456543,1865.75052595639
"MYO15A",179.289377289377,6528.66340144421
"KIF16B",181.963702963703,28718.6325928125
"FZR1",182.361971361971,12092.594116299
"TFRC",183.272061272061,3616.56719718212
"CCT8",183.924741924742,3422.08094326282
"STXBP1",183.9333999334,4103.18477014879
"ANXA2",184.879786879787,5024.58281247955
"MAPRE1",185.746586746587,4935.46773901204
"CALML3",186.080919080919,9854.96180435154
"RIPOR2",186.15651015651,3303.50047975564
"RFC4",186.45288045288,2836.20322537778
"PTEN",187.7002997003,8284.91614581288
"PPP2CA",188.625374625375,26882.8639395248
"NRP1",191.276057276057,24502.178597108
"PLXNA2",191.465867465867,4245.85584657403
"PLXNA4",191.994005994006,8809.62021722448
"SMAD4",192.652014652015,2126.6560144275
"MYO3B",194.925074925075,5542.77219915328
"PLXNA3",195.301698301698,7913.49788852054
"TWF1",195.741924741925,3479.33410781978
"VCP",197.290043290043,14400.7323025631
"S100A4",198.341658341658,9716.58209811508
"CXCR4",201.581751581752,3065.26671551855
"KRT17",201.808857808858,4802.8715137849
"KLC2",204.911754911755,67154.93391574
"GRXCR1",205.353979353979,5246.10017320011
