"gene_id","cluster","betweenness","degree_centrality"
"SH2D2A","2",761,2
"SHANK1","2",2277,2
"SLC16A3","2",1520,2
"SLC7A11","2",761,2
"SOX17","2",6,2
"SPI1","2",0,2
"SPON1","2",761,2
"SPP1","2",2257,2
"STC2","2",0,2
"STXBP2","2",761,2
"TACC3","2",727,2
"TCF7","2",0,2
"TFF3","2",761,2
"THY1","2",761,2
"TK1","2",28,2
"TMC6","2",761,2
"TNFAIP6","2",1198,2
"TNFAIP8L2","2",761,2
"TNFRSF13C","2",388,2
"TNFRSF8","2",526,2
"TNFRSF9","2",761,2
"TNFSF10","2",761,2
"TNNT1","2",0,2
"TPX2","2",761,2
"TREM2","2",0,2
"TRPV4","2",761,2
"TSPAN15","2",2277,2
"TUBA1B","2",117,2
"TUBA1C","2",861,2
"TXK","2",1520,2
"TYMS","2",0,2
"USP43","2",470,2
"WNT2","2",688,2
"WNT7A","2",761,2
"ZWINT","2",4,2
"FBP1","3",1,2
"ALDH3A1","5",0,2
"ALDH3B1","5",0,2
"ALDH3B2","5",0,2
"ASB9","8",1,2
"OAS1","19",0,2
"OAS3","19",0,2
"EYA2","28",2,2
"SIX1","28",2,2
"LGR5","37",3,2
"LGR6","37",0,2
"RSPO4","37",0,2
"PLPP2","45",1,2
"PNP","46",1,2
"RAB3IP","48",1,2
"TTC30A","55",1,2
"ABHD11","1",0,1
"ACTR3C","2",0,1
"ADGRE2","2",0,1
"ADGRG1","2",0,1
"ALPL","2",0,1
"AMN","2",0,1
"ANXA3","2",0,1
"APLP1","2",0,1
"APOBEC3B","2",0,1
"AQP9","2",0,1
"ARFGEF3","2",0,1
"ARL11","2",0,1
"ARL4C","2",0,1
"ASS1","2",0,1
"ATP2B2","2",0,1
"ATP5MF","2",0,1
"B3GNT2","2",0,1
"BANK1","2",0,1
"BARX2","2",0,1
"BCAM","2",0,1
"BCL11A","2",0,1
"BCL2A1","2",0,1
"BEND3","2",0,1
"BID","2",0,1
"BNIPL","2",0,1
"BORA","2",0,1
"CA12","2",0,1
"CABLES1","2",0,1
"CABP4","2",0,1
"CADM3","2",0,1
"CAPG","2",0,1
"CARD9","2",0,1
"CCDC6","2",0,1
"CCL4L2","2",0,1
"CCNF","2",0,1
"CD200R1","2",0,1
"CD24","2",0,1
"CD300A","2",0,1
"CD52","2",0,1
"CD6","2",0,1
"CD96","2",0,1
"CDC25C","2",0,1
"CDCA5","2",0,1
"CDCA7","2",0,1
"CDCP1","2",0,1
"CDKN2B","2",0,1
"CDKN3","2",0,1
"CDR2L","2",0,1
"CFAP90","2",0,1
"CGN","2",0,1
"CHMP4C","2",0,1
"CKS2","2",0,1
"CNKSR1","2",0,1
"COBL","2",0,1
"CP","2",0,1
"CRB3","2",0,1
"CSF2RA","2",0,1
"CSPG5","2",0,1
"CTNNA2","2",0,1
"CTSS","2",0,1
"CXADR","2",0,1
"CXXC5","2",0,1
"CYC1","2",0,1
"CYRIB","2",0,1
"DAPP1","2",0,1
