"","external_gene_name","logFC"
"483","CKB",2.31409722802911
"484","PLEKHF1",2.14091495229981
"485","IQCD",1.36680141807523
"486","PCLAF",1.29270552028694
"487","ANPEP",6.65023315236068
"488","PLK1",1.60064405687355
"489","CCDC178",-1.6917463373202
"490","ZNF668",1.11373924894644
"491","CDT1",2.4019392768168
"492","YIF1B",1.08892272884478
"493","MFSD3",1.35804088969353
"494","C19orf48P",1.05357463564208
"495","RCOR2",1.72208727136986
"496","CD320",1.32453802284474
"497","TK1",1.55703841968498
"498","SPINDOC",1.08600242081492
"499","PBK",1.60704601509028
"500","DDIT4",1.35394197303487
"501","DTYMK",1.0198774575515
"502","NPNT",2.16649308105741
"503","RGS14",1.26674223229763
"504","SH3TC2",2.4439839938081
"505","GPRIN1",1.85062860951189
"506","CKAP2L",1.37745136495514
"507","BUB1",1.88129074927325
"508","AGPAT2",1.1657727817465
"509","FASN",1.49863574263234
"510","RAC3",1.21074016440356
"511","NRG4",-2.0952879947889
"512","PCDH7",2.60291505836912
"513","MUC17",2.93209621105159
"514","CDK1",1.57726941516331
"515","LRRN2",2.76509040178933
"516","PFKFB3",1.54873341196275
"517","SERPINB9",1.35462507054191
"518","SLC26A5",-1.96917930271502
"519","TTLL6",2.46874698605124
"520","CDCA4",1.09729752091816
"521","ATP6V0E2",1.48082139218517
"522","BBLN",1.17917695891585
"523","SCAND1",1.42358458223921
"524","SHCBP1",1.16728570723445
"525","SOSTDC1",-3.32116596254564
"526","ESCO2",1.52130631155987
"527","KRT15",2.09643918919925
"528","SPSB1",1.19778467490309
"529","PLEKHG5",1.27767252575445
"530","RRM2",1.55627920610152
"531","TLN2",-1.01455294192604
"532","ORMDL3",1.58184788277134
"533","SNTB1",1.58805825134111
"534","PDE3A",1.81425732412606
"535","ADH6",2.73639302395261
"536","GLRX",1.26618724515894
"537","MZT2A",1.09567376871439
"538","FAM166C",-1.3249144930599
"539","LRFN4",1.72633114173604
"540","SLC19A1",1.40182092056471
"541","JUP",2.37500724938771
"542","CBX2",2.49378639513751
"543","SPTBN2",2.15769926500256
"544","ZNHIT2",1.1324294458512
"545","EXO1",1.72025216591559
"546","ANKRD36C",-1.82629356090073
"547","PDZK1",2.85426966820244
"548","UBE2C",1.85450308327282
"549","CSRP2",2.34893823883199
"550","CCNE2",1.39706032406069
"551","P2RY2",1.76580953898175
"552","CCDC85B",1.95117843763387
"553","MTLN",4.99715579810151
"554","ETV4",1.23781625306139
"555","ATAD5",1.20591191809695
