"","node_1","node_2","score"
"129","NDC80","BUB1",0.725
"64","SLC7A5","ATP1B3",0.456
"373","NDC80","NEK2",0.809
"177","SLC7A5","SLC7A8",0.842
"172","NDC80","SKA3",0.72
"48","NDC80","NUF2",0.999
"56","NDC80","SPC25",0.993
"66","NDC80","BUB1B",0.755
"912","SLC7A5","ATP1A1",0.491
"62","NDC80","SKA1",0.83
"99","NDC80","PLK1",0.774
"140","CYBA","RAC3",0.81
"1243","MCM4","RECQL4",0.457
"713","MCM4","CDC7",0.966
"98","MCM4","PLK1",0.457
"617","MCM4","KIF20A",0.406
"743","MCM4","CDC45",0.987
"451","MCM4","ORC1",0.931
"21","MCM4","ASF1B",0.611
"27","MCM4","MCM6",0.999
"326","MCM4","H3C12",0.604
"699","MCM4","TONSL",0.457
"38","MCM4","MCM2",0.999
"17","MCM4","GINS1",0.979
"436","MCM4","H3C10",0.439
"1166","MCM4","H3C1",0.483
"63","CYBA","FZD7",0.499
"153","MCM4","CLSPN",0.899
"406","CYBA","S100A9",0.499
"49","MCM4","GINS4",0.991
"795","MCM4","MCM10",0.98
"1177","MCM4","H4C13",0.422
"54","KCNH2","KCNE4",0.499
"113","MCM4","CDT1",0.961
"79","PKMYT1","CCNB2",0.584
"527","PKMYT1","CKS2",0.65
"1227","PKMYT1","CCNA2",0.595
"628","PKMYT1","CDK1",0.668
"102","PKMYT1","PLK1",0.632
"686","DNAH9","BCL6",0.464
"188","CHTF18","DSCC1",0.999
"978","CHTF18","POLD1",0.417
"1476","NHERF1","ABCC4",0.655
"265","CHTF18","E2F1",0.633
"156","CHTF18","ATAD5",0.809
"1486","NHERF1","ABCC2",0.658
"800","NHERF1","MME",0.426
"745","GINS1","CDC45",0.996
"797","GINS1","MCM10",0.598
"155","GINS1","CLSPN",0.8
"33","GINS1","MCM2",0.974
"25","GINS1","MCM6",0.973
"110","CCNE1","CDT1",0.551
"50","GINS1","GINS4",0.999
"570","NHERF1","PODXL",0.858
"253","NHERF1","PDZK1",0.825
"207","CCNE1","H1-5",0.457
"137","CCNE1","CDC25A",0.457
"633","CCNE1","CDK1",0.738
"264","CCNE1","E2F1",0.411
"526","CCNE1","CKS2",0.664
"1217","CCNE1","CCNA2",0.759
"351","CCNE1","E2F2",0.54
"862","CCNE1","CCNE2",0.946
"40","KIF18A","CENPE",0.821
"256","CCNE1","FOXM1",0.457
"1128","ASF1B","H4C4",0.921
"215","ASF1B","H3C13",0.946
"1327","ASF1B","H3C11",0.559
"335","ASF1B","H3C12",0.765
"697","ASF1B","TONSL",0.743
"37","ASF1B","MCM2",0.97
"722","KIF18A","KIFC1",0.61
"611","KIF18A","KIF20A",0.54
"24","ASF1B","MCM6",0.627
"1085","ASF1B","H4C1",0.921
"433","ASF1B","H3C10",0.595
"462","KIF18A","KIF20B",0.54
"510","SGO1","CDCA8",0.933
"825","KIF18A","BRCA1",0.439
"972","KIF18A","KIF18B",0.54
"904","KIF18A","KIF1A",0.54
"478","KIF18A","KIF2C",0.847
"1165","ASF1B","H3C1",0.705
"1194","ASF1B","H4C13",0.956
"170","ASF1B","CHAF1B",0.848
"158","SGO1","AURKB",0.49
"193","KIF18A","KIF15",0.54
"67","SGO1","BUB1B",0.44
"214","WDR76","H3C13",0.457
"376","KIF18A","KIF14",0.633
"915","WDR76","ATP1A1",0.457
"592","CDH3","JUP",0.763
"589","WDR76","DBN1",0.457
"678","CDH3","CDH24",0.54
"979","POLQ","POLD1",0.448
"45","GPC1","ERBB2",0.54
"148","MCM6","CLSPN",0.895
"109","MCM6","CDT1",0.999
"786","MCM6","MCM10",0.944
"1196","MCM6","H4C13",0.459
"34","MCM6","MCM2",0.999
"1155","MCM6","H3C1",0.58
"52","MCM6","GINS4",0.98
"1250","MCM6","RECQL4",0.457
"751","MCM6","CDC45",0.996
"445","MCM6","ORC1",0.91
"483","MCM6","CDC20",0.446
"870","MCM6","H2AX",0.42
"711","MCM6","CDC7",0.839
"32","RASGEF1B","ICAM1",0.416
"92","UBE2S","PLK1",0.499
"165","UBE2S","AURKB",0.499
"331","MCM6","H3C12",0.407
"696","MCM6","TONSL",0.457
"101","MCM6","PLK1",0.457
"65","UBE2S","BUB1B",0.76
"1234","UBE2S","CCNA2",0.499
"371","UBE2S","NEK2",0.499
"656","UBE2S","CDK1",0.499
"1467","UBE2S","RAD51",0.72
"1029","NEIL3","H2BC17",0.499
"144","UBE2S","CBX2",0.9
"542","NEIL3","H2BC13",0.499
"135","NEIL3","H2AC8",0.499
"184","NEIL3","H2BC4",0.499
"489","UBE2S","CDC20",0.919
"1293","NEIL3","H2BC3",0.499
"886","NEIL3","H2AX",0.499
"284","UBE2S","UBE2C",0.967
"840","UBE2S","BRCA1",0.938
"86","UBE2S","MAD2L1",0.499
"1382","NEIL3","H2BC15",0.499
"203","NEIL3","H2AC14",0.499
"1041","NEIL3","H2BC14",0.499
"597","UBE2S","PTTG1",0.499
"416","NEIL3","H2BC21",0.499
"1010","NEIL3","H2BC11",0.499
"865","CP","HEPH",0.9
"296","NEIL3","H2BC12",0.499
"1067","MCM2","H4C1",0.9
"949","ICAM1","TLN2",0.495
"583","ICAM1","CD9",0.803
"438","ICAM1","CD2",0.981
"1320","MCM2","H2BC3",0.457
"139","DEPDC1B","RAC3",0.543
"1174","MCM2","H4C13",0.94
"1108","MCM2","H4C4",0.9
"798","MCM2","MCM10",0.917
"221","MCM2","H3C13",0.958
"51","MCM2","GINS4",0.993
"1329","MCM2","H3C11",0.921
"742","MCM2","CDC45",0.995
"1146","MCM2","H3C1",0.946
"361","CENPE","CENPF",0.881
"432","MCM2","H3C10",0.941
"338","MCM2","H3C12",0.954
"1249","MCM2","RECQL4",0.578
"458","MCM2","ORC1",0.939
"136","MCM2","H2AC8",0.457
"698","MCM2","TONSL",0.918
"715","MCM2","CDC7",0.917
"470","CENPE","KIF2C",0.89
"117","CENPE","BIRC5",0.721
"80","CENPE","CCNB2",0.56
"237","CENPE","CENPA",0.655
"615","CENPE","KIF20A",0.413
"159","CENPE","AURKB",0.674
"108","MCM2","CDT1",0.955
"75","MCM2","CCNB2",0.62
"130","CENPE","BUB1",0.781
"47","CENPE","NUF2",0.712
"150","MCM2","CLSPN",0.954
"605","CENPE","PRC1",0.662
"70","CENPE","BUB1B",0.989
"816","ANLN","BRCA1",0.42
"501","CENPE","CENPI",0.502
"581","PITX1","CD9",0.487
"588","ANLN","DBN1",0.42
"586","ANLN","CIT",0.509
"909","LGR5","ZNRF3",0.99
"735","ANLN","RACGAP1",0.941
"350","ANLN","IQGAP3",0.457
"578","LGR5","TNFRSF19",0.618
"790","TICRR","MCM10",0.79
"358","CACNA1C","RYR2",0.88
"683","ERBB2","EPHB2",0.596
"1241","TICRR","RECQL4",0.858
"749","TICRR","CDC45",0.525
"1492","ERBB2","NOTCH1",0.411
"725","ERBB2","GRB7",0.992
"465","PLK4","STIL",0.994
"624","ERBB2","NRG4",0.59
"83","ERBB2","FGFR4",0.732
"391","ERBB2","PTGS2",0.564
"739","ERBB2","GPI",0.491
"673","ERBB2","GAPDH",0.422
"251","ERBB2","FGFR3",0.607
"593","ERBB2","JUP",0.542
"737","PLK4","RACGAP1",0.445
"72","PLK4","BUB1B",0.447
"161","NUF2","AURKB",0.581
"93","PLK4","PLK1",0.496
"249","NUF2","CENPA",0.474
"60","NUF2","CENPH",0.872
"228","NUF2","KNL1",0.889
"651","PLK4","CDK1",0.582
"961","NUF2","SPC24",0.999
"124","NUF2","BUB1",0.725
"518","CDCA5","CDCA8",0.448
"55","NUF2","SPC25",0.987
"151","GINS4","CLSPN",0.8
"405","RTKN","S100A4",0.436
"649","CDCA5","CDK1",0.826
"163","CDCA5","AURKB",0.787
"78","CDCA5","CCNB2",0.568
"118","CDCA5","BIRC5",0.566
"750","GINS4","CDC45",0.999
"1246","GINS4","RECQL4",0.531
"981","GINS4","POLD1",0.452
"964","SPC25","SPC24",0.982
"132","SPC25","BUB1",0.725
"230","SPC25","KNL1",0.834
"792","GINS4","MCM10",0.569
"395","CENPH","CENPW",0.989
"1105","CENPH","H4C4",0.8
"664","CENPH","CENPK",0.999
"557","CENPH","H2BC10",0.8
"772","CENPH","HJURP",0.68
"289","CENPH","H2BC7",0.8
"275","PLOD2","COL27A1",0.499
"1206","CENPH","H4C13",0.8
"1082","CENPH","H4C1",0.8
"1427","CENPH","H2BC6",0.8
"505","CENPH","CENPI",0.999
"926","CENPH","H2BC8",0.8
"246","CENPH","CENPA",0.984
"69","SKA1","BUB1B",0.9
"236","CENPH","KNL1",0.549
"369","SKA1","CENPF",0.9
"94","SKA1","PLK1",0.72
"187","CENPH","H2BC4",0.8
"174","SKA1","SKA3",0.999
