"","external_gene_name","logFC"
"65","CLK1",-2.55271645917435
"66","CD6",2.14149716735882
"67","TACC3",3.74307049858766
"68","ACP3",3.14687973560195
"69","MTMR11",-2.57957547048279
"70","CCDC88C",2.7677857947015
"71","WAS",2.01624614906816
"72","BID",2.04867522689515
"73","MATR3",-2.73593482098529
"74","RUFY3",-2.37909142021756
"75","CNTN1",-2.67054479606757
"76","ATP1A2",-3.30875222196639
"77","VSIG2",3.04089198547036
"78","SYT13",6.56923652670527
"79","CD74",3.87372221118729
"80","ADGRA2",-2.28527265346512
"81","RUNX3",4.8817019846066
"82","PLEKHB1",3.96110938161386
"83","FHL1",-2.10833457061596
"84","NLRP2",5.64677970073372
"85","GLRX2",2.36187341499724
"86","DERA",2.03334568616752
"87","DEPDC1",5.97383580165984
"88","TYMP",2.64830566395106
"89","VIM",-2.60252258549683
"90","KCNG1",3.5504876938124
"91","SLAMF7",3.8329384469782
"92","SH2D2A",2.62568886373312
"93","BMAL2",3.8693143939237
"94","HMGB3",3.3527942145634
"95","BAK1",2.27392610479204
"96","GRN",2.14348778306664
"97","FUT8",2.15617922973433
"98","APBA2",2.04328121661247
"99","FAM136A",2.0609480007881
"100","DEPDC1B",4.80303912119731
"101","TIMP2",-2.88564475550472
"102","CYP46A1",-2.28766452783862
"103","VCAN",2.48217284502796
"104","MSR1",2.51458458194264
"105","CDH1",4.93346708424773
"106","DNAH5",3.82865082099979
"107","ZFYVE16",-2.32430880032421
"108","RTN4R",2.67690675851853
"109","RAB27B",2.8863971221022
"110","RIPOR3",-3.50540281905337
"111","MED17",-3.47449461622742
"112","CAPG",3.38751900394115
"113","ADAM28",2.29624388175575
"114","BARX2",7.02129812311912
"115","EPHA3",-2.04390254938242
"116","DSG2",2.52673714345175
"117","YTHDC2",-2.02377761125193
"118","CP",7.39552453648276
"119","XK",2.56007700394895
"120","SCML1",-3.00842099666616
"121","ARHGAP6",-3.79622351526935
"122","HDAC9",2.31391346333568
"123","CELF2",-2.76001895282687
"124","COL9A2",4.19634868150031
"125","TNFRSF9",5.50210154278368
"126","FOXP3",2.94877868270289
"127","MCUR1",2.15523570150671
"128","COL23A1",4.83081865663302
"129","RAD51",3.62587004594514
"130","POLQ",3.98841117742391
"131","CYBA",3.87148555816009
"132","PRSS8",7.73282637293017
"133","KCNQ1",2.70976862634912
"134","ENTPD2",3.91615607376022
"135","LY75",2.10063234891843
"136","SYNE2",-2.33852326396716
"137","PLEKHH1",2.35035662723609
"138","TRAF1",-2.8042738542132
"139","LAMC2",4.99782465523105
"140","STYK1",4.18056508151031
"141","GNA15",2.07175386666221
"142","COL11A1",3.75941521020987
"143","BCAT1",2.6145311875867
"144","PRDM6",-3.21564418305772
"145","DGAT2",2.68908985623647
"146","SLC6A16",-2.75701270825361
"147","CA11",-2.25491631133951
"148","CASP8",2.27528525405647
"149","DLX3",3.33111258313549
"150","SPA17",3.06435337664862
"151","CCN5",-5.63085433791928
"152","ATP2C2",3.03407214671038
"153","CDON",-2.49752165597031
"154","RFXANK",2.04270276578682
"155","EYA2",6.53663331506759
"156","SNCAIP",-3.69794324921401
"157","NTN1",3.11800676786435
"158","MCM10",4.37652793965569
"159","ERBB3",4.89596382102969
"160","PRKCQ",2.71162472990549
"161","PDE4A",2.06640966828788
"162","CTNNA2",4.87668335494244
"163","NGEF",2.84924644357967
"164","ASPM",4.31224278349095
"165","CD84",2.36412579679529
"166","SPI1",2.76608605031148
"167","MPPED2",4.41739815739051
"168","KIF26A",-2.49109773760104
"169","PKM",2.56172539956725
"170","TRO",-2.49180593837991
"171","PRKCZ",2.4699777229285
"172","NAV3",-4.08966456471158
"173","FGFR3",3.47678544499442
"174","PRR11",4.75530956165671
"175","RASGRP2",-2.76311622296416
"176","PITX1",4.7580018813039
"177","SDK2",2.66675123647042
"178","ABCC9",-2.14574872428952
"179","MAOB",-3.56556265908964
"180","RORA",-2.74066806709458
"181","TGFBR3",-3.5220440406691
"182","HES2",6.39539458849438
"183","GNB5",-2.42511089795056
"184","PTPN3",2.86000923216685
"185","DAPP1",3.77173554268586
"186","FSTL3",-2.49157334564519
